name;type;headName;headPosition;headEmail;address;phone;website;socialMedia;tags
CDL - Câmara de Dirigentes Lojistas;Associação;Eliane Tomasim;Secretária;eliane@cdl-sorriso.org;Rua 25 Sala X;55-66-99211-3030;https://cdl-sorriso.org;cdl_sorriso;comércio/segurança
ACES - Associação Comercial e Empresarial de Sorriso;Associação;Responsável 2;Presidente;contato2@entidadesorriso.org;Avenida Principal 2, Centro;55-66-9900-3002;https://entidadesorriso2.org;entidade_sorriso2;esporte/cultura
Sindicato Rural de Sorriso;Associação;Responsável 3;Diretor;contato3@entidadesorriso.org;Avenida Principal 3, Centro;55-66-9900-3003;https://entidadesorriso3.org;entidade_sorriso3;educação/juventude
Associação dos Produtores Rurais de Sorriso;Associação;Responsável 4;Presidente;contato4@entidadesorriso.org;Avenida Principal 4, Centro;55-66-9900-3004;https://entidadesorriso4.org;entidade_sorriso4;esporte/cultura
Associação Médica de Sorriso;Associação;Responsável 5;Diretor;contato5@entidadesorriso.org;Avenida Principal 5, Centro;55-66-9900-3005;https://entidadesorriso5.org;entidade_sorriso5;educação/juventude
Associação de Moradores do Bairro Bela Vista;Associação;Responsável 6;Presidente;contato6@entidadesorriso.org;Avenida Principal 6, Centro;55-66-9900-3006;https://entidadesorriso6.org;entidade_sorriso6;esporte/cultura
Associação dos Engenheiros e Arquitetos de Sorriso;Associação;Responsável 7;Diretor;contato7@entidadesorriso.org;Avenida Principal 7, Centro;55-66-9900-3007;https://entidadesorriso7.org;entidade_sorriso7;educação/juventude
Associação de Pais e Mestres da Escola Modelo;Associação;Responsável 8;Presidente;contato8@entidadesorriso.org;Avenida Principal 8, Centro;55-66-9900-3008;https://entidadesorriso8.org;entidade_sorriso8;esporte/cultura
Ordem dos Advogados do Brasil - Subseção Sorriso;Associação;Responsável 9;Diretor;contato9@entidadesorriso.org;Avenida Principal 9, Centro;55-66-9900-3009;https://entidadesorriso9.org;entidade_sorriso9;educação/juventude
Associação Sorriso de Ciclismo;Associação;Responsável 10;Presidente;contato10@entidadesorriso.org;Avenida Principal 10, Centro;55-66-9900-3010;https://entidadesorriso10.org;entidade_sorriso10;esporte/cultura
Associação Atlética Sorriso Futebol Clube;Associação;Responsável 11;Diretor;contato11@entidadesorriso.org;Avenida Principal 11, Centro;55-66-9900-3011;https://entidadesorriso11.org;entidade_sorriso11;educação/juventude
Associação de Proteção Animal Sorriso;Associação;Responsável 12;Presidente;contato12@entidadesorriso.org;Avenida Principal 12, Centro;55-66-9900-3012;https://entidadesorriso12.org;entidade_sorriso12;esporte/cultura
Associação Cultural de Sorriso;Associação;Responsável 13;Diretor;contato13@entidadesorriso.org;Avenida Principal 13, Centro;55-66-9900-3013;https://entidadesorriso13.org;entidade_sorriso13;educação/juventude
Associação Sorriso de Artes Marciais;Associação;Responsável 14;Presidente;contato14@entidadesorriso.org;Avenida Principal 14, Centro;55-66-9900-3014;https://entidadesorriso14.org;entidade_sorriso14;esporte/cultura
Clube de Mães Unidas por Sorriso;Associação;Responsável 15;Diretor;contato15@entidadesorriso.org;Avenida Principal 15, Centro;55-66-9900-3015;https://entidadesorriso15.org;entidade_sorriso15;educação/juventude
Liga Sorrisense de Capoeira;Associação;Responsável 16;Presidente;contato16@entidadesorriso.org;Avenida Principal 16, Centro;55-66-9900-3016;https://entidadesorriso16.org;entidade_sorriso16;esporte/cultura
Associação de Pequenos Empreendedores de Sorriso;Associação;Responsável 17;Diretor;contato17@entidadesorriso.org;Avenida Principal 17, Centro;55-66-9900-3017;https://entidadesorriso17.org;entidade_sorriso17;educação/juventude
Associação dos Motociclistas de Sorriso;Associação;Responsável 18;Presidente;contato18@entidadesorriso.org;Avenida Principal 18, Centro;55-66-9900-3018;https://entidadesorriso18.org;entidade_sorriso18;esporte/cultura
Associação de Voluntários da Saúde de Sorriso;Associação;Responsável 19;Diretor;contato19@entidadesorriso.org;Avenida Principal 19, Centro;55-66-9900-3019;https://entidadesorriso19.org;entidade_sorriso19;educação/juventude
Associação Jovem Empreendedor Sorrisense;Associação;Responsável 20;Presidente;contato20@entidadesorriso.org;Avenida Principal 20, Centro;55-66-9900-3020;https://entidadesorriso20.org;entidade_sorriso20;esporte/cultura
8 Batalhão da Policia Militar de Sorriso;Governo Estadual;Jorge Almeida;Tenente Coronel;pm@gmail.com;Rua dos Pardais20 Centro;55-66-9922-3020;pm.com.br;seguranca/;
